restaurant_id,name,location,phone,operating_hours,website,cuisine_type,reservation_information
REST0001,Arby's,"170 Pooler Pkwy, Pooler",748-7496,,,Fast Food,
REST0002,Arby's Roast Beef,"307 Mall Blvd, Savannah",354-8657,,,Fast Food,
REST0003,Arby's Roast Beef,"11111 Abercorn St, Savannah",927-4687,,,Fast Food,
REST0004,Atlanta Bread Company,"5500 Abercorn St, Savannah",691-1949,,,Bakery/Café,
REST0005,B & D Burger,"209 W Congress St, Savannah",238-8315,,,Fast Food,
REST0006,B & D Burgers,"11108 Abercorn St, Savannah",927-8700,,,Fast Food,
REST0007,B & D Burgers,"13 E Broughton St, Savannah",231-0986,,,Fast Food,
REST0008,B Matthews Eatery,"325 E Bay St, Savannah",233-1319,,,American,
REST0009,Bamboo Garden,"13051 Abercorn St, Savannah",927-9688,,,Chinese,
REST0010,Barberitos Restaurant,"4525 Habersham St, Savannah",349-6750,,,Mexican,
REST0011,Barnes BBQ Express,"109 Whitaker St, Savannah",236-1557,,,BBQ,
REST0012,Bayou Café Restaurant – Rhythm & Blues Entertainment,"14 N Abercorn St, Savannah",912-233-6411,"Lunch & Dinner, Mon–Sat 11 a.m.–3 a.m.; Sun 11 a.m.–2 a.m.",www.bayousavannah.com,Cajun / Southern,
REST0013,Bobo Seafood Market,"2800 Montgomery St, Savannah",232-5757,,,Seafood,
REST0014,Bojangles,"29 W DeRenne Ave, Savannah",353-7787,,,Fast Food,
REST0015,Bonefish Grill,"5500 Abercorn St, Savannah",691-2575,,,Seafood,
REST0016,Burger King Restaurant,4241 Augusta Rd,964-5929,,,Fast Food,
REST0017,Burger King Restaurant,601 Martin Luther King Jr Blvd,234-9906,,,Fast Food,
REST0018,Burger King Restaurant,7923 White Bluff Rd,927-2244,,,Fast Food,
REST0019,Burger King Restaurant,415 E Highway 80,748-4769,,,Fast Food,
REST0020,Cajun Cafe,"7804 Abercorn St, Savannah",354-2001,,,Cajun,
REST0021,Cajun Cafe,"14045 Abercorn St, Savannah",920-9227,,,Cajun,
REST0022,Cancun Mexican Restaurant,"5500 Abercorn St, Savannah",356-1139,,,Mexican,
REST0023,Cancun Mexican Restaurant,216 Johnny Mercer Blvd,898-0368,,,Mexican,
REST0024,Carey Hilliards Restaurants,"198 Pooler Pkwy, Pooler",330-0700,,,BBQ & Seafood,
REST0025,Caribbean Cuisine,"7094 Hodgson Memorial Dr, Savannah",355-7858,,,Caribbean,
REST0026,Carlito's Mexican Bar & Grill,"119 Martin Luther King Jr Blvd, Savannah",232-2545,,,Mexican,
REST0027,Carrabba's Italian Grill,"10408 Abercorn St, Savannah",961-7073,,,Italian,
REST0028,Casbah Moroccan Restaurant,"118 E Broughton St, Savannah",234-6168,,,Moroccan / Middle Eastern,
